URL,Version,Status,OIDs,Name,Title,Description,Uses,Used,Sources
https://clinyqai.github.io/open-nursing-core-ig/ValueSet/acvpu-vs,0.1.0,draft,,ACVPUValueSet,ACVPU Value Set,"ACVPU consciousness level codes","StructureDefinition/onc-acvpu","SCT"
https://clinyqai.github.io/open-nursing-core-ig/ValueSet/goal-evaluation-valueset,0.1.0,draft,,GoalEvaluationValueSet,Goal Evaluation Value Set,"Value set for evaluating patient goal outcomes","StructureDefinition/onc-goal-evaluation","SCT"
https://clinyqai.github.io/open-nursing-core-ig/ValueSet/housing-status-vs,0.1.0,draft,,HousingStatusVS,Housing Status Value Set,"Value set for patient housing status",,"SCT"
https://clinyqai.github.io/open-nursing-core-ig/ValueSet/inspired-oxygen-vs,0.1.0,draft,,InspiredOxygenValueSet,Inspired Oxygen Value Set,"Codes for inspired oxygen status","StructureDefinition/onc-inspired-oxygen","SCT"
https://clinyqai.github.io/open-nursing-core-ig/ValueSet/news2-code-vs,0.1.0,draft,,NEWS2CodeValueSet,NEWS2 Code Value Set,"LOINC and SNOMED codes for NEWS2",,"Internal"
https://clinyqai.github.io/open-nursing-core-ig/ValueSet/news2-subscore-code-vs,0.1.0,draft,,NEWS2SubscoreCodeValueSet,NEWS2 Sub-Score Codes,"SNOMED codes for NEWS2 sub-scores",,"Internal"
https://clinyqai.github.io/open-nursing-core-ig/ValueSet/nursing-intervention-valueset,0.1.0,draft,,NursingInterventionValueSet,Nursing Intervention Value Set,"Value set for nursing interventions","StructureDefinition/onc-nursing-intervention","SCT"
https://clinyqai.github.io/open-nursing-core-ig/ValueSet/nursing-problem-valueset,0.1.0,draft,,NursingProblemValueSet,Nursing Problem Value Set,"Value set for nursing problems and diagnoses","StructureDefinition/onc-nursing-problem","SCT,Internal"
https://clinyqai.github.io/open-nursing-core-ig/ValueSet/onc-monk-scale-vs,0.1.0,draft,,ONCMonkScaleVS,Monk Skin Tone Scale ValueSet,"","StructureDefinition/onc-monk-skintone-observation","Internal"
https://clinyqai.github.io/open-nursing-core-ig/ValueSet/pain-assessment-code-vs,0.1.0,draft,,PainAssessmentCodeValueSet,Pain Assessment Code Value Set,"LOINC codes for pain severity assessment","StructureDefinition/onc-pain-assessment","LOINC"
https://clinyqai.github.io/open-nursing-core-ig/ValueSet/problem-category-valueset,0.1.0,draft,,ProblemCategoryValueSet,Problem Category Value Set,"Value set for categorizing nursing problems","StructureDefinition/onc-nursing-problem","Internal"
https://clinyqai.github.io/open-nursing-core-ig/ValueSet/skintone-vs,0.1.0,draft,,SkinToneVS,Fitzpatrick Skin Tone Value Set,"Value set for Fitzpatrick skin type classifications","StructureDefinition/onc-skintone-observation","Internal"
https://clinyqai.github.io/open-nursing-core-ig/ValueSet/wound-stage-vs,0.1.0,draft,,WoundStageValueSet,Wound Stage Value Set,"","StructureDefinition/onc-wound-assessment","Internal"
